Date,Close*
5/16/2008,126.29
5/15/2008,124.12
5/14/2008,124.22
5/13/2008,125.8
5/12/2008,124.23
5/9/2008,125.96
5/8/2008,123.69
5/7/2008,123.53
5/6/2008,121.84
5/5/2008,119.97
5/2/2008,116.32
5/1/2008,112.52
4/30/2008,113.46
4/29/2008,115.63
4/28/2008,118.75
4/25/2008,118.52
4/24/2008,116.06
4/23/2008,118.3
4/22/2008,119.37
4/21/2008,117.48
4/18/2008,116.69
4/17/2008,114.86
4/16/2008,114.93
4/15/2008,113.79
4/14/2008,111.76
4/11/2008,110.14
4/10/2008,110.11
4/9/2008,110.87
4/8/2008,108.5
4/7/2008,109.09
4/4/2008,106.23
4/3/2008,103.83
4/2/2008,104.83
4/1/2008,100.98
3/31/2008,101.58
3/28/2008,105.62
3/27/2008,107.58
